Feature,Importance
emp_rate,0.514639066200549
emp_repair_%,0.449464736282707
emp_business_%,0.4168903127345054
emp_production_%,0.3095114360892312
emp_healthcare_%,0.29116028930596843
emp_foodprepare_%,0.2644125171668628
median_sale_homes_USD,0.2545551931914504
emp_transport_%,0.24162715447784375
emp_protective_%,0.2158054146298542
emp_sales_%,0.2012427954439166
crimes_against_society_%,0.18477004737260438
emp_farm_%,0.17573180359603024
emp_clean_%,0.17078295093242032
labor_force_rate,0.15158673417656446
emp_computer_%,0.14309099226382418
emp_construct_%,0.1419707962636363
race_Hisp_%,0.08678341804782083
emp_healthsupport_%,0.057184919939018926
vacant_rentals_%,0.051347066979053266
employed_male_%,0.051347064961964214
emp_legal_%,0.03921200447306278
emp_admin_%,0.03889823320465044
emp_pop_ratio_wh_only,0.024571873842117054
emp_personalcare_%,0.0037939777631565974
