Feature,Importance
owner_homes_%,0.9031965726994328
renter_occupied_%,0.9002617371768439
occ_lt0.5_%,0.4669505204761048
house_lt1939_%,0.4062764869298211
occ_0.5to1.0_%,0.38559756986320126
moved_lastyear_%,0.3075955999400156
house_1940to1999_%,0.29073208644647286
occ_1.01to1.5_%,0.28505730598032347
occ_1.51to2.0_%,0.2476694541888185
vacant_rentals_%,0.2238740229113854
house_income_gt30_USD_%,0.22211480616310839
house_2000to2014_%,0.1562107410757877
homeless_Shelters_per_1000,0.10817861279303471
costas%income_womgage_lt10%_%,0.04574814677027602
median_owner_home_USD,0.03931019328049104
costas%income_wmgage_lt20%_%,0.035875585904217556
occ_gt2.01_%,0.031466212948037225
costas%income_womgage_30to35%_%,0.02227255942193599
costas%income_womgage_gt35%_%,0.017352693330373557
median_sale_homes_USD,0.013872031410463512
costas%income_wmgage_gt35%_%,0.009930718984035188
costas%income_womgage_20to25%_%,0.007408051664561354
gross_rent_%,0.0060451310038223
costas%income_wmgage_30to35%_%,0.005889927702566772
costas%income_wmgage_25to30%_%,0.005864493318257082
house_noplumbing_%,0.005095190082415497
costas%income_womgage_15to20%_%,0.004806688592800851
costas%income_womgage_25to30%_%,0.0035849545192956074
property_val_USD,0.0014002627867001735
costas%income_womgage_10to15%_%,0.0012014975078420652
costas%income_wmgage_20to25%_%,0.0007348347929519801
house_nokitchen_%,0.0007217274582063102
